Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
ELKTON LAGOONS,46000270001,,"$323,688",,,,,,"$323,688",.046,.046,.05,677,,,,677,715,,,,715,SD0020788,Individual Permit,ELKTON TOWN OF,Brookings,Upper Big Sioux,10170202,0th Congressional District,SD,8,MAP
ROSLYN STP,46000404001,,,"$488,739",,,,,"$488,739",.02,.03,.03,267,,,,267,247,,,,247,SD0022802,Individual Permit,"ROSLYN, TOWN OF",Day,North Big Sioux Coteau,10160010,0th Congressional District,SD,8,MAP
CANOVA STP,46000438001,,"$199,994",,,,,,"$199,994",.012,.012,.013,140,,,,140,140,,,,140,SD0021521,Individual Permit,"CANOVA, TOWN OF",Miner,Lower James,10160011,0th Congressional District,SD,8,MAP
HARRISBURG STP,46000456001,,"$6,570,877",,,,,,"$6,570,877",.35,.35,.35,"4,714",,,,"4,714","4,714",,,,"4,714",,,"HARRISBURG, TOWN OF",Lincoln,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
MARION STP,46000476001,,,"$1,704,583",,,,,"$1,704,583",.08,.08,.08,831,,,,831,831,,,,831,SD0020311,Individual Permit,"MARION, TOWN OF",Turner,Vermillion,10170102,0th Congressional District,SD,8,MAP
ROSHOLT STP,46000490001,,,"$1,210,415",,,,,"$1,210,415",.05,.07,.07,667,,,,667,516,,,,516,SD0020524,Individual Permit,"ROSHOLT, TOWN OF",Roberts,Bois De Sioux,09020101,0th Congressional District,SD,8,MAP
WHITEWOOD STP,46000503001,,,"$185,580",,,,,"$185,580",.122,.122,.122,901,,,,901,"1,314",,,,"1,314",SD0021466,Individual Permit,"WHITEWOOD, TOWN OF",Lawrence,Lower Belle Fourche,10120202,0th Congressional District,SD,8,MAP
QUINN Sanitary Sewer System,46000521001,,"$406,970",,"$146,158",,,,"$553,128",.005,.005,.011,70,,,,70,160,,,,160,,,"QUINN, TOWN OF",Pennington,Bad,10140102,0th Congressional District,SD,8,MAP
NORTHVILLE WWTP,46000523001,,"$156,430",,,,,,"$156,430",.016,.016,.018,124,,,,124,124,,,,124,,,"NORTHVILLE, TOWN OF",Spink,Snake,10160008,0th Congressional District,SD,8,MAP
CROOKS WWTF,46000553001,,"$692,319",,,,,,"$692,319",.078,.078,.163,"1,012",,,,"1,012","2,100",,,,"2,100",SD0020761,Individual Permit,Crooks,Minnehaha,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
Piedmont Wastewater System,46000554001,,"$623,761",,"$1,390,837",,,,"$2,014,598",,,.25,,,,,,"2,500",,,,"2,500",,,"PIEDMONT, CITY OF",Meade,Middle Cheyenne-Elk,10120111,0th Congressional District,SD,8,MAP
LAKE POINSETT STP,46000559001,,"$2,162,291",,"$9,261,311",,,,"$11,423,602",.056,.056,.064,339,,,,339,399,,,,399,,,LK POINSETT SANITARY DIST,Hamlin,Upper Big Sioux,10170202,0th Congressional District,SD,8,MAP
BOX ELDER WWTP,46000570001,,"$24,487,892",,,,,,"$24,487,892",.32,.32,3,"2,883",,,,"2,883","23,084",,,,"23,084",SD0025186,Individual Permit,"BOX ELDER, CITY OF",Pennington,Middle Cheyenne-Elk,10120111,0th Congressional District,SD,8,MAP
BRIGHAM CITY,49000002001,"$2,398,221",,,,,,,"$2,398,221",2.08,4,4,"17,769",740,,,"18,509","20,311",845,,,"21,156",UT0022365,Individual Permit,BRIGHAM CITY,Box Elder,Lower Bear-Malad,16010204,1st Congressional District,UT,8,MAP
NORTH FORK SSD,49000002002,,,,,,,,,.01,.04,.04,115,,,,115,119,,,,119,,,NORTH FORK SSD,Utah,Provo,16020203,3rd Congressional District,UT,8,MAP
EPHRAIM,49000003001,"$2,642,084",,,"$3,575,195",,,,"$6,217,279",.48,.5,1.5,"4,852",,,,"4,852","5,151",,,,"5,151",,,EPHRAIM CITY,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
FILLMORE,49000005001,,,,"$240,426",,,,"$240,426",.25,.45,.45,"2,082",,,,"2,082","2,363",,,,"2,363",,,FILLMORE CITY,Millard,Great Salt Lake,16020310,3rd Congressional District,UT,8,MAP
HYRUM,49000010001,,,,,,,,,.774,1.3,1.3,"7,323",,,,"7,323","9,619",,,,"9,619",UT0023205,Individual Permit,HYRUM  CITY,Cache,Little Bear-Logan,16010203,1st Congressional District,UT,8,MAP
KAMAS,49000011001,,,,,,,,,.5,1,1,"1,571",,,,"1,571","2,777",,,,"2,777",UT0020966,Individual Permit,KAMAS CITY,Summit,Upper Weber,16020101,1st Congressional District,UT,8,MAP
MILFORD,49000014001,,,,,,,,,.19,.24,.24,"1,368",,,,"1,368","1,220",,,,"1,220",,,MILFORD CITY,Beaver,Southern Great Salt Lake Desert,16020306,3rd Congressional District,UT,8,MAP
MORGAN CITY,49000015001,,,,"$856,599",,,,"$856,599",.363,.42,.42,"3,214",,,,"3,214","3,500",,,,"3,500",UT0020893,Individual Permit,MORGAN CITY,Morgan,Lower Weber,16020102,1st Congressional District,UT,8,MAP
MT PLEASANT,49000017001,,,,,,,,,.3,.37,.37,"2,574",,,,"2,574","2,734",,,,"2,734",,,MT PLEASANT,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
NORTH DAVIS SD,49000018001,"$72,181,599",,"$5,154,259",,,,,"$77,335,858",21.6,34,41,"1,683","177,171",,,"178,854","1,745","186,680",,,"188,425",UT0021741,Individual Permit,NORTH DAVIS SEWER DISTRICT,Davis,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
RICHMOND,49000019001,,,,"$1,473,459",,,,"$1,473,459",.43,.5,.5,"2,609",,,,"2,609","3,439",,,,"3,439",UT0020907,Individual Permit,RICHMOND CITY,Cache,Middle Bear,16010202,1st Congressional District,UT,8,MAP
WELLSVILLE,49000021001,"$3,371,831","$14,590,323",,"$5,238,770",,,,"$23,200,924",.4,.5,.93,"3,143",,,,"3,143","4,356",,,,"4,356",UT0020371,Individual Permit,WELLSVILLE CITY CORP,Cache,Little Bear-Logan,16010203,1st Congressional District,UT,8,MAP
WENDOVER,49000022001,,,,,,,,,.17,.3,.3,"1,669",,,,"1,669","1,967",,,,"1,967",,,WENDOVER CITY,Tooele,Pilot-Thousand Springs,16020307,1st Congressional District,UT,8,MAP
DELTA,49000023001,,,,"$2,493,034",,,,"$2,493,034",.37,.6,.6,"3,009",,,,"3,009","3,352",,,,"3,352",,,DELTA,Millard,Lower Sevier,16030005,3rd Congressional District,UT,8,MAP
GRANTSVILLE,49000024001,,"$1,593,596",,"$6,128,114",,,,"$7,721,710",.681,1,2,"8,074",,,,"8,074","13,727",,,,"13,727",UT0021130,Individual Permit,GRANTSVILLE,Tooele,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
GREEN RIVER,49000025001,"$375,206",,"$2,390,505",,,,,"$2,765,711",.213,.1,.197,877,,,,877,880,,,,880,,,GREEN RIVER,Emery,Lower Green,14060008,2nd Congressional District,UT,8,MAP
LAKEPOINT ID,49000027001,,"$11,164,949",,,,,,"$11,164,949",.299,.4,1.8,"2,967",,,,"2,967","13,374",,,,"13,374",UT0020231,Individual Permit,LAKEPOINT IMPROVEMENT DISTRICT,Tooele,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
SALEM,49000029001,,,,,,,,,1.1,1.25,,"7,453","3,904",,,"11,357","19,539",,,,"19,539",UT0020249,Individual Permit,SALEM CITY,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
CASTLE DALE,49000031001,,,,,,,,,.32,.47,.47,"1,511","1,256",,,"2,767","1,499","1,244",,,"2,743",UT0023663,Individual Permit,CASTLE VALLEY SPECIAL SERVICE DISTRICT,Emery,San Rafael,14060009,2nd Congressional District,UT,8,MAP
PANGUITCH,49000035001,,,,,,,,,.18,.258,.258,"1,470",,,,"1,470","1,530",,,,"1,530",,,PANGUITCH CITY,Garfield,Upper Sevier,16030001,2nd Congressional District,UT,8,MAP
CEDAR CITY,49000038001,,,,,,,,,3.4,4.5,4.5,"25,637","4,545",,,"30,182","36,751","6,514",,,"43,265",UT0024970,Individual Permit,CEDAR CITY,Iron,Escalante Desert,16030006,2nd Congressional District,UT,8,MAP
BEAVER,49000039001,"$2,737,421",,,,,,,"$2,737,421",.25,.25,.41,"2,554",,,,"2,554","4,026",,,,"4,026",,,BEAVER CITY CORPORATION,Beaver,Beaver Bottoms-Upper Beaver,16030007,3rd Congressional District,UT,8,MAP
PLAIN CITY,49000040001,,,,,,,,,.41,.8,.8,"4,240",,,,"4,240","5,813",,,,"5,813",UT0021326,Individual Permit,PLAIN CITY,Weber,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
SPRINGVILLE,49000041001,,,,,,,,,3,5.2,,"26,307",,,,"26,307","36,725",,,,"36,725",UT0020834,Individual Permit,SPRINGVILLE,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
OREM,49000042001,,"$17,959,284","$1,460,356","$1,065,072",,,,"$20,484,712",9.81,12.3,16.5,"85,613","9,723",,,"95,336","77,003","21,609",,,"98,612",UT0020915,Individual Permit,OREM,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
MANTI,49000043001,,,,,,,,,.32,.5,.5,"3,035",,,,"3,035","3,221",,,,"3,221",,,MANTI CITY,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
MONTICELLO,49000044001,,,,,,,,,.19,.32,.32,"1,798",,,,"1,798","1,597",,,,"1,597",UT0024503,Individual Permit,MONTICELLO,San Juan,Montezuma,14080203,2nd Congressional District,UT,8,MAP
NEPHI,49000045001,,,,,,,,,.5,.9,.9,"5,114",,,,"5,114","7,151",,,,"7,151",,,NEPHI,Juab,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
BLANDING,49000046001,,,"$65,987","$164,967",,,,"$230,954",.31,.47,.47,"2,964",,,,"2,964","2,632",,,,"2,632",,,BLANDING CITY,San Juan,Lower San Juan-Four Corners,14080201,2nd Congressional District,UT,8,MAP
LEWISTON,49000047001,,,,,,,,,.3,.87,.87,"1,991",,,,"1,991","2,463",,,,"2,463",UT0020214,Individual Permit,LEWISTON CITY CORPORATION,Cache,Middle Bear,16010202,1st Congressional District,UT,8,MAP
SALINA,49000048001,,,,,,,,,.41,1.085,1.085,"2,284",,,,"2,284","2,215",,,,"2,215",,,SALINA,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
FAIRVIEW,49000050001,,,,,,,,,.1,.3,.3,"1,129",,,,"1,129","1,222",,,,"1,222",UTL025542,Individual Permit,FAIRVIEW CITY,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
HEBER VALLEY SSD,49000051001,,"$16,439,295",,,,,,"$16,439,295",1.55,2,3,,"13,708",,,"13,708",,"23,689",,,"23,689",,,HEBER VALLEY SSD,Wasatch,Provo,16020203,2nd Congressional District,UT,8,MAP
MOAB,49000053001,,,,,,,,,1.07,2,2,"4,747","2,883",,,"7,630","4,676","2,567",,,"7,243",UT0020419,Individual Permit,MOAB,Grand,Upper Colorado-Kane Springs,14030005,2nd Congressional District,UT,8,MAP
PAROWAN,49000054001,,,,"$729,264",,,,"$729,264",.3,1.2,1.2,"2,269",117,,,"2,386","3,653",168,,,"3,821",,,PAROWAN,Iron,Escalante Desert,16030006,2nd Congressional District,UT,8,MAP
SALT LAKE CITY,49000055001,"$32,004,499",,"$17,003,766",,,,"$22,571,495","$71,579,760",33.6,56,56,"166,461",,,,"166,461","153,584",,,,"153,584",UT0021725,Individual Permit,SALT LAKE CITY,Salt Lake,Jordan,16020204,1st Congressional District,UT,8,MAP
COALVILLE,49000058001,,"$7,977,069",,,,,,"$7,977,069",.29,.35,.5,"1,288",,,,"1,288","1,131",,,,"1,131",UT0021288,Individual Permit,COALVILLE,Summit,Upper Weber,16020101,1st Congressional District,UT,8,MAP
ESCALANTE,49000059001,,,,,,,,,.08,.12,.12,742,,,,742,775,,,,775,,,ESCALANTE CITY,Garfield,Escalante,14070005,2nd Congressional District,UT,8,MAP
MAGNA WID,49000063001,"$1,603,250",,,"$9,609,331",,,,"$11,212,581",2.6,2.6,4.3,"29,561",,,,"29,561","35,954",,,,"35,954",UT0021440,Individual Permit,MAGNA WATER AND SEWER,Salt Lake,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
PROVO,49000064001,,,,"$13,031,138",,,,"$13,031,138",13.5,21,21,"108,962",,,,"108,962","101,694",,,,"101,694",UT0021717,Individual Permit,PROVO,Utah,Provo,16020203,3rd Congressional District,UT,8,MAP
ROOSEVELT,49000073001,"$1,827,149",,,,,,,"$1,827,149",.64,1.5,1.5,"4,637",634,,,"5,271","4,738",679,,,"5,417",,,ROOSEVELT,Duchesne,Duchesne,14060003,2nd Congressional District,UT,8,MAP
KANAB,49000074001,,,,,,,,,.34,.71,.71,"3,692",,,,"3,692","4,455",,,,"4,455",,,KANAB,Kane,Kanab,15010003,2nd Congressional District,UT,8,MAP
PERRY CITY,49000075001,,,,"$1,183,118",,,,"$1,183,118",2,2,2,"3,171","1,643",,,"4,814","3,748","1,843",,,"5,591",UT0021148,Individual Permit,PERRY CITY,Box Elder,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
HUNTINGTON,49000076001,,,,,,,,,.21,.4,.4,"1,926",,,,"1,926","1,910",,,,"1,910",UT0021296,Individual Permit,CASTLE VALLEY SPECIAL SERVICE DISTRICT,Emery,San Rafael,14060009,2nd Congressional District,UT,8,MAP
ENTERPRISE,49000077001,"$2,707,410",,"$97,567","$513,758",,,,"$3,318,735",.19,.2,.5,"1,605",,,,"1,605","3,178",,,,"3,178",,,ENTERPRISE CITY,Washington,Escalante Desert,16030006,2nd Congressional District,UT,8,MAP
EUREKA,49000078001,"$1,197,901",,,,,,,"$1,197,901",.09,.1,.2,784,,,,784,"1,095",,,,"1,095",UT0024601,Individual Permit,EURAKA CITY,Juab,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
SOUTH VALLEY WRF,49000081001,,,,,,,,,35,50,50,,"400,605",,,"400,605",,"342,583",,,"342,583",UT0024384,Individual Permit,SOUTH VALLEY WATER RECLAMATION FACILITY,Salt Lake,Jordan,16020204,3rd Congressional District,UT,8,MAP
SOUTH VALLEY SD,49000084001,,"$77,008,814",,"$50,025,170",,,,"$127,033,984",,,22.5,"159,626",,,,"159,626","279,052",,,,"279,052",,,SOUTH VALLEY SEWER DISTRICT,Salt Lake,Jordan,16020204,2nd Congressional District,UT,8,MAP
ASHLEY VALLEY SMB,49000085001,,"$3,174,116","$100,804",,,,,"$3,274,920",1.85,2,3,"1,384","15,779",,,"17,163","1,484","17,215",,,"18,699",UT0025348,Individual Permit,ASHLEY VALLEY SMB,Uintah,Ashley-Brush,14060002,2nd Congressional District,UT,8,MAP
RICHFIELD,49000088001,,,"$8,641,198","$1,039,972",,,,"$9,681,170",1.03,1.5,1.5,"6,650",,,,"6,650","5,025","3,470",,,"8,495",,,RICHFIELD CITY,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
DUCHESNE,49000089001,,,"$2,981,206",,,,,"$2,981,206",.16,.42,.42,"1,468",,,,"1,468","1,525",,,,"1,525",UT0020095,Individual Permit,"DUCHESNE, CITY OF",Duchesne,Duchesne,14060003,2nd Congressional District,UT,8,MAP
SOUTH DAVIS SD - NORTH,49000091001,,,,,,,,,9.6,12,12,"74,933",,,,"74,933","76,633",,,,"76,633",UT0021636,Individual Permit,SOUTH DAVIS SD,Davis,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
SOUTH DAVIS SD - SOUTH,49000091002,,,,,,,,,4.9,7,7,"32,437",,,,"32,437","42,175",,,,"42,175",UT0021628,Individual Permit,SOUTH DAVIS SD,Davis,Jordan,16020204,1st Congressional District,UT,8,MAP
CENTRAL VALLEY WRF,49000094001,,"$19,428,789",,,,,"$20,781,426","$40,210,215",52.5,75,75,,"430,977",,,"430,977",,"404,664",,,"404,664",UT0024392,Individual Permit,CENTRAL VALLEY WRF BOARD,Salt Lake,Jordan,16020204,2nd Congressional District,UT,8,MAP
ST GEORGE,49000097001,,"$67,550,823",,,,,,"$67,550,823",10.3,17,28,"71,347","34,277",,,"105,624","144,479","73,516",,,"217,995",UT0024686,Individual Permit,ST GEORGE,Washington,Lower Virgin,15010010,2nd Congressional District,UT,8,MAP
SANTAQUIN,49000099001,,"$12,178,228",,"$395,010",,,,"$12,573,238",.75,1,1.5,"7,116",,,,"7,116","12,687",,,,"12,687",,,"SANTAQUIN, CITY",Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
EAST CARBON CITY,49000100001,,,,,,,,,.24,.45,.45,"1,242",364,,,"1,606","1,299",384,,,"1,683",,,EAST CARBON CITY,Carbon,Price,14060007,2nd Congressional District,UT,8,MAP
TREMONTON,49000107001,"$4,271,402",,,"$4,149,571",,,,"$8,420,973",1.15,1.69,3.2,"6,053","1,919",,,"7,972","6,918","2,194",,,"9,112",UT0020303,Individual Permit,TREMONTON,Box Elder,Lower Bear-Malad,16010204,1st Congressional District,UT,8,MAP
TROPIC,49000109001,"$941,139",,,"$682,779",,,,"$1,623,918",.062,.123,.23,462,,,,462,483,,,,483,,,TOWN OF TROPIC,Garfield,Paria,14070007,2nd Congressional District,UT,8,MAP
SPRING CITY,49000110001,,,,,,,,,.1,.13,.13,965,,,,965,"1,012",,,,"1,012",UT0025216,Individual Permit,SPRING CITY,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
MINERSVILLE,49000113001,,,,,,,,,.081,.133,.133,798,,,,798,"1,220",,,,"1,220",,,MINERSVILLE TOWN,Beaver,Lower Beaver,16030008,3rd Congressional District,UT,8,MAP
HINCKLEY,49000115001,,,,,,,,,.08,.1,.1,701,,,,701,911,,,,911,,,HINCKLEY TOWN,Millard,Lower Sevier,16030005,3rd Congressional District,UT,8,MAP
FRANCIS,49000116001,,,,,,,,,.09,.15,.15,907,,,,907,"1,916",,,,"1,916",,,FRANCIS,Summit,Upper Weber,16020101,1st Congressional District,UT,8,MAP
ELSINORE,49000117001,"$192,658",,,"$3,064,093",,,,"$3,256,751",,,.461,,,706,,,684,,,,684,,,ELSINORE TOWN,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
AURORA,49000119001,,,,,,,,,.1,.132,.132,901,,,,901,876,,,,876,,,AURORA,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
MONROE,49000123001,"$379,621",,,"$8,898,556",,,,"$9,278,177",,,.685,,,"1,754",,,"1,702",,,,"1,702",,,MONROE CITY,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
PAYSON,49000129001,,,,,,,,,1.81,3,,"16,593",,,,"16,593","30,490",,,,"30,490",UT0020427,Individual Permit,PAYSON,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
CENTRAL WEBER SID,49000130001,,"$123,317,918","$3,762,685",,,,,"$127,080,603",30.2,44.5,62.5,1,"158,912",,,"158,913",1,"183,624",,,"183,625",UT0021911,Individual Permit,CENTRAL WEBER SID,Weber,Lower Weber,16020102,1st Congressional District,UT,8,MAP
PRICE RIVER WID,49000132001,,,"$1,771,015",,,,,"$1,771,015",1.8,4,4,"4,190","10,966",,,"15,156","4,508","11,631",,,"16,139",UT0021814,Individual Permit,PRICE RIVER WID,Carbon,Price,14060007,2nd Congressional District,UT,8,MAP
LOGAN,49000135001,,,,"$30,435,775",,,,"$30,435,775",16.6,20,20,"46,195","30,620",,,"76,815","58,375","42,628",,,"101,003",UT0021920,Individual Permit,LOGAN,Cache,Little Bear-Logan,16010203,1st Congressional District,UT,8,MAP
CENTRAL DAVIS SD,49000140001,,"$7,353,642","$4,854,422",,,,,"$12,208,064",7.68,9.99,9.99,"47,126",,,,"47,126","50,341",,,,"50,341",UT0020974,Individual Permit,CENTRAL DAVIS COUNTY SD,Davis,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
TOOELE,49000141001,"$3,653,761",,,,,,,"$3,653,761",3.2,3.5,3.5,"29,400",,,,"29,400","33,929",,,,"33,929",,,TOOELE,Tooele,Great Salt Lake,16020310,1st Congressional District,UT,8,MAP
SPANISH FORK,49000145001,,,,,,,,,3.3,5,,"28,960","7,345",,,"36,305","40,473",,,,"40,473",UT0020109,Individual Permit,SPANISH FORK CITY,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
SNYDERVILLE WRD - EAST CANYON,49000146001,,"$22,829,610",,,,,"$1,156,008","$23,985,618",3.2,4,6,"15,418",,,,"15,418","21,577",,,,"21,577",UT0020001,Individual Permit,SNYDERVILLE BASIN WRD,Summit,Upper Weber,16020101,1st Congressional District,UT,8,MAP
SNYDERVILLE WRD - SILVER CREEK,49000146002,,"$33,193,244",,,,,,"$33,193,244",1.9,2,3.1,"7,943",,,,"7,943","11,116",,,,"11,116",UT0024414,Individual Permit,SNYDERVILLE BASIN WRD,Summit,Lower Weber,16020102,1st Congressional District,UT,8,MAP
SPRINGDALE,49000147001,,,"$920,329",,,,,"$920,329",.2,.5,.5,591,281,,,872,828,548,,,"1,376",UT0025224,Individual Permit,SPRINGDALE,Washington,Upper Virgin,15010008,2nd Congressional District,UT,8,MAP
MEXICAN HAT,49000148001,,,,,,,,,.02,.031,.031,85,,,,85,80,,,,80,,,mexican hat ssd,San Juan,Lower San Juan,14080205,2nd Congressional District,UT,8,MAP
MOUNTAIN GREEN,49000150001,"$584,740",,,"$3,497,057",,,,"$4,081,797",.26,1,1,"2,370",,,,"2,370","5,845",,,,"5,845",UT0024732,Individual Permit,MOUNTAIN GREEN SID,Morgan,Lower Weber,16020102,1st Congressional District,UT,8,MAP
BRIAN HEAD,49000151001,,,"$4,697,070","$551,285",,,,"$5,248,355",.18,.2,.2,117,,,,117,168,,,,168,,,BRIAN HEAD SID,Iron,Escalante Desert,16030006,2nd Congressional District,UT,8,MAP
LONG VALLEY SID,49000152001,,,,,,,,,.091,.101,.101,911,,,,911,682,,,,682,,,LONG VALLEY SID,Kane,Upper Virgin,15010008,2nd Congressional District,UT,8,MAP
TIMPANOGOS SSD,49000155001,,"$92,683,808","$22,977,458",,,,,"$115,661,266",17.1,18.34,30,1,"141,087",,,"141,088",1,"204,817",,,"204,818",UT0023639,Individual Permit,TIMPANOGOS SSD,Utah,Utah Lake,16020201,3rd Congressional District,UT,8,MAP
BEAR RIVER,49000158001,,"$1,230,708,117","$111,892",,,,,"$1,230,820,009",.1,.08,.113,772,,,,772,883,,,,883,UT0020311,Individual Permit,BEAR RIVER CITY,Box Elder,Lower Bear-Malad,16010204,1st Congressional District,UT,8,MAP
CORINNE,49000159001,,"$1,202,580","$478,859","$988,016",,,,"$2,669,455",.11,.07,.22,616,,,,616,704,,,,704,UT0020931,Individual Permit,CORINNE,Box Elder,Lower Bear-Malad,16010204,1st Congressional District,UT,8,MAP
ELWOOD,49000161001,"$2,693,023",,,"$14,180,605",,,,"$16,873,628",,,.25,,,770,,,880,,,,880,,,ELWOOD,Box Elder,Lower Bear-Malad,16010204,1st Congressional District,UT,8,MAP
SCOFIELD,49000178001,,,,,,,,,.001,.001,.001,25,,,,25,29,,,,29,,,SCOFIELD TOWN,Carbon,Price,14060007,2nd Congressional District,UT,8,MAP
MANILA,49000179001,,,"$288,298","$1,136,392",,,,"$1,424,690",.03,.13,.13,286,,117,,286,271,,87,,271,,,Town of Manila,Daggett,Upper Green-Flaming Gorge Reservoir,14040106,2nd Congressional District,UT,8,MAP
ALTAMONT,49000185001,,,"$118,815",,,,,"$118,815",.025,.052,.052,185,,,,185,187,,,,187,,,"ALTAMONT, TOWN OF",Duchesne,Duchesne,14060003,2nd Congressional District,UT,8,MAP
MYTON,49000186001,,,,,,,,,.079,.17,.17,553,,,,553,573,,,,573,,,MYTON,Duchesne,Duchesne,14060003,2nd Congressional District,UT,8,MAP
NEOLA WATER & SEWER ,49000188001,,,,,,,,,.06,.07,.07,566,,,,566,587,,,,587,UT0023001,Individual Permit,NEOLA W&SD,Duchesne,Duchesne,14060003,2nd Congressional District,UT,8,MAP
CLEVELAND,49000189001,,,,,,,,,.073,.098,.098,473,,,,473,470,,,,470,,,CASTLE VALLEY SPECIAL SERVICE DISTRICT,Emery,San Rafael,14060009,2nd Congressional District,UT,8,MAP
ELMO,49000190001,,,,,,,,,.03,.05,.05,342,,,,342,341,,,,341,,,CASTLE VALLEY SPECIAL SERVICE DISTRICT,Emery,San Rafael,14060009,2nd Congressional District,UT,8,MAP
EMERY,49000191001,,,,,,,,,.054,.13,.13,283,,,,283,279,,,,279,,,CASTLE VALLEY SPECIAL SERVICE DISTRICT,Emery,Muddy,14070002,2nd Congressional District,UT,8,MAP
CANNONVILLE,49000194001,"$1,081,630",,,"$589,980",,,,"$1,671,610",,,.23,,,137,,,164,483,,,647,,,CANNONVILLE TOWN,Garfield,Paria,14070007,2nd Congressional District,UT,8,MAP
HENRIEVILLE,49000196001,"$480,874",,,"$1,248,042",,,,"$1,728,916",,,.031,,,137,,,150,,,,150,,,HENRIEVILLE TOWN,Garfield,Paria,14070007,2nd Congressional District,UT,8,MAP
LEVAN,49000203001,"$1,548,431",,,"$5,050,247",,,,"$6,598,678",,,.145,,,818,,,"1,145",,,,"1,145",,,LEVAN,Juab,Lower Sevier,16030005,3rd Congressional District,UT,8,MAP
MONA,49000204001,,"$6,459,280",,"$7,563,733",,,,"$14,023,013",,,.5,,,"1,155",,,"3,582",,,,"3,582",,,MONA CITY,Juab,Lower Sevier,16030005,3rd Congressional District,UT,8,MAP
BIG WATER,49000206001,"$1,993,712",,,"$855,576",,,,"$2,849,288",,,.11,,,390,,,590,,,,590,,,BIG WATER,Kane,Lower Lake Powell,14070006,2nd Congressional District,UT,8,MAP
KANOSH,49000208001,"$985,108",,,"$2,628,486",,,,"$3,613,594",,,.066,,,463,,,515,,,,515,,,KANOSH TOWN,Millard,Beaver Bottoms-Upper Beaver,16030007,3rd Congressional District,UT,8,MAP
BEAR LAKE SSD,49000221001,,,,"$7,453,016",,,,"$7,453,016",.11,.4,.4,547,,,,547,566,,,,566,,,BEAR LAKE SSD,Rich,Bear Lake,16010201,1st Congressional District,UT,8,MAP
FOUNTAIN GREEN,49000230001,,,,,,,,,.105,.2,.2,896,,,,896,951,,,,951,,,FOUNTAIN GREEN,Sanpete,San Pitch,16030004,3rd Congressional District,UT,8,MAP
MAYFIELD,49000231001,"$1,282,611",,,"$2,630,717",,,,"$3,913,328",,,.1,,,412,,,430,,,,430,,,MAYFIELD TOWN,Sanpete,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
ANNABELLA,49000232001,"$175,181",,,"$2,880,579",,,,"$3,055,760",,,.316,,,621,,,598,,,,598,,,ANNABELLA TOWN,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
REDMOND,49000236001,,,,,,,,,.085,.1,.1,760,,,,760,737,,,,737,,,REDMOND TOWN,Sevier,Middle Sevier,16030003,3rd Congressional District,UT,8,MAP
