Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
SCOTT CITY WWTP,20001337001,,,,,,,,,,,,,,,,,,,,.385,.54,.54,"3,855",,,,"3,855",0,3855,"5,119",,,,"5,119",0,5119,,,"SCOTT CITY, CITY OF",Scott,Whitewoman,11030002,1st Congressional District,KS,7,MAP
SPEARVILLE WWTP,20001338001,,,,,,,,,,,,,,,,,,,,.08,.066,.066,864,,9,,864,0,864,879,,9,,879,0,879,,,"SPEARVILLE, CITY OF",Ford,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
SYRACUSE WWTP,20001339001,,,,,,,,,,,,,,,,,,,,.181,.43,.43,"1,764",,15,,"1,764",0,1764,"1,767",,15,,"1,767",0,1767,,,"SYRACUSE      ,CITYOF",Hamilton,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
RUSH CENTER WWTP,20001341001,"$1,688,974",,,,,,,,,,,,,,,,"$1,688,974",,,.014,.02,.02,136,,40,,136,0,136,210,,40,,210,0,210,KS0117102,Individual Permit,"RUSH CENTER, CITY OF",Rush,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
TRIBUNE WWTP,20001345001,,,,,,,,,,,,,,,,,,,,.061,.128,.128,605,,108,,605,0,605,984,,108,,984,0,984,KS0085642,Individual Permit,"TRIBUNE, CITY OF",Greeley,Whitewoman,11030002,1st Congressional District,KS,7,MAP
FI CO SD #2 (SOUTHWIND) WWTP,20001346001,,,,,,,,,,,,,,,,,,,,.02,.075,.075,200,,,,200,0,200,246,,,,246,0,246,,,FINNEY COUNTY COMMISSION,Finney,Arkansas-Dodge City,11030003,1st Congressional District,KS,7,MAP
UTICA WWTP,20001350001,,,,,,,,,,,,,,,,,,,,.022,.028,.028,223,,,,223,0,223,227,,,,227,0,227,,,"UTICA, CITY OF",Ness,Upper Walnut Creek,11030007,1st Congressional District,KS,7,MAP
ATWOOD WWTP,20001401001,,,,,,,,,,,,,,,,,,,,.13,.2,.2,"1,279",,,,"1,279",0,1279,"1,716",,,,"1,716",0,1716,KS0095265,Individual Permit,"ATWOOD, CITY OF",Rawlins,Beaver,10250014,1st Congressional District,KS,7,MAP
ALMENA WWTP,20001402001,,,,,,,,,,,,,,,,,,,,.043,.043,.043,447,,,,447,0,447,463,,,,463,0,463,KS0096768,Individual Permit,"ALMENA, CITY OF",Norton,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
BREWSTER WWTP,20001403001,,,,,,,,,,,,,,,,,,,,.028,.04,.04,297,,,,297,0,297,306,,,,306,0,306,,,"BREWSTER, CITY OF",Thomas,Upper Sappa,10250010,1st Congressional District,KS,7,MAP
COLBY WWTP,20001405001,"$46,120",,"$294,386",,"$488,189",,"$117,754",,,,,,,,,,"$946,449",,,.455,1,1,"4,558",,439,,"4,558",0,4558,"5,453",,439,,"5,453",0,5453,KS0098698,Individual Permit,"COLBY, CITY OF",Thomas,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
HERNDON WWTP,20001407001,,,,,,,,,,,,,,,,,,,,.015,.034,.034,135,,,,135,0,135,178,,,,178,0,178,KS0025551,Individual Permit,"HERNDON, CITY OF",Rawlins,Beaver,10250014,1st Congressional District,KS,7,MAP
HOLCOMB WWTP,20001409001,,,,,,,,,,,,,,,,,,,,.16,.2,.2,"1,612",,609,,"1,612",0,1612,"1,916",,609,,"1,916",0,1916,,,"HOLCOMB, CITY OF",Finney,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
GOODLAND WWTP,20001410001,"$2,494,020",,,,,,,,,,,,,,,,"$2,494,020",,,.48,.7,.7,"4,848",,,,"4,848",0,4848,"4,728",,,,"4,728",0,4728,,,"GOODLAND, CITY OF",Sherman,Upper Sappa,10250010,1st Congressional District,KS,7,MAP
JENNINGS WWTP,20001411001,,,,,,,,,,,,,,,,,,,,.013,.029,.029,127,,,,127,0,127,162,,,,162,0,162,,,"JENNINGS      ,CITYOF",Decatur,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
DODGE CITY WWTP,20001412001,"$707,401",,,,"$2,960,978",,"$10,924,291",,,,,,,,,,"$14,592,670",,,5.6,8.2,8.2,"24,723",,"1,454",,"24,723",0,24723,"26,251",,453,,"26,251",0,26251,,,"DODGE CITY      ,CITYOF",Ford,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
LONG ISLAND WWTP,20001413001,,,,,,,,,,,,,,,,,,,,.011,.019,.019,113,,33,,113,0,113,183,,33,,183,0,183,,,"LONG ISLAND, CITY OF",Phillips,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
MCDONALD WWTP,20001414001,,,,,,,,,,,,,,,,,,,,.016,.031,.031,137,,,,137,0,137,190,,,,190,0,190,,,"MCDONALD, CITY OF",Rawlins,Little Beaver,10250013,1st Congressional District,KS,7,MAP
NORCATUR WWTP,20001415001,,,,,,,,,,,,,,,,,,,,.017,.027,.027,155,,,,155,0,155,231,,,,231,0,231,,,"NORCATUR, CITY OF",Decatur,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
NORTON WWTP,20001416001,,,,,,,,,,,,,,,,,,,,.276,.45,.45,"2,760",,,,"2,760",0,2760,"3,258",,,,"3,258",0,3258,KS0097730,Individual Permit,"NORTON, CITY OF",Norton,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
OBERLIN WWTP,20001417001,,,,,,,,,,,,,,,,,,,,.156,.35,.35,"1,564",,206,,"1,564",0,1564,"2,046",,206,,"2,046",0,2046,KS0098655,Individual Permit,"OBERLIN      ,CITYOF",Decatur,Lower Sappa,10250011,1st Congressional District,KS,7,MAP
KANORADO WWTP,20001418001,,,,,,,,,,,,,,,,,,,,.025,.03,.03,248,,,,248,0,248,286,,,,286,0,286,,,"KANORADO, CITY OF",Sherman,South Fork Beaver,10250012,1st Congressional District,KS,7,MAP
BIRD CITY WWTP,20001419001,,,,,,,,,,,,,,,,,,,,.045,.045,.045,482,,,,482,0,482,489,,,,489,0,489,,,"BIRD CITY, CITY OF",Cheyenne,Little Beaver,10250013,1st Congressional District,KS,7,MAP
LEOVILLE I D WWTP,20001420001,,,,,,,,,,,,,,,,,,,,.01,.014,.014,100,,,,100,0,100,132,,,,132,0,132,,,LEOVILLE IMP DIST BOARD OF COMMISSIONERS,Decatur,Prairie Dog,10250015,1st Congressional District,KS,7,MAP
REXFORD WWTP,20001450001,,,,,,,,,,,,,,,,,,,,.023,.031,.031,232,,56,,232,0,232,250,,56,,250,0,250,,,"REXFORD, CITY OF",Thomas,Upper North Fork Solomon,10260011,1st Congressional District,KS,7,MAP
ST FRANCIS WWTP,20001460001,,,,,,,,,,,,,,,,,,,,.136,.22,.22,"1,360",,,,"1,360",0,1360,"1,773",,,,"1,773",0,1773,KS0031089,Individual Permit,"SAINT FRANCIS, CITY OF",Cheyenne,South Fork Republican,10250003,1st Congressional District,KS,7,MAP
ALTOONA WWTP,20001501001,,,,,,,,,,,,,,,,,,,,.048,.065,.065,485,,,,485,0,485,617,,,,617,0,617,KS0027511,Individual Permit,"ALTOONA, CITY OF",Wilson,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
BUFFALO WWTP,20001503001,,,,,,,,,,,,,,,,,,,,.028,.048,.048,289,,,,289,0,289,378,,,,378,0,378,KS0094722,Individual Permit,"BUFFALO, CITY OF",Wilson,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
CANEY WWTP,20001504001,,,,,,,,,,,,,,,,,,,,.35,.35,.35,"1,950",,,,"1,950",0,1950,"1,950",,,,"1,950",0,1950,KS0027481,Individual Permit,"CANEY      ,CITYOF",Montgomery,Caney,11070106,2nd Congressional District,KS,7,MAP
CHERRYVALE WWTP,20001507001,,,,,,,,,,,,,,,,,,,,.23,.3,.3,"2,271",,,,"2,271",0,2271,"2,439",,,,"2,439",0,2439,KS0094803,Individual Permit,"CHERRYVALE, CITY OF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
COFFEYVILLE WWTP,20001509001,,,"$2,608,318",,,,,,,,,,,,,,"$2,608,318",,,4.06,4.06,4.06,"9,628",,758,,"9,628",0,9628,"10,346",,758,,"10,346",0,10346,KS0050733,Individual Permit,"COFFEYVILLE     ,CITYOF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
CEDAR VALE WWTP,20001511001,,,,,,,,,,,,,,,,,,,,.072,.12,.12,723,,,,723,0,723,756,,,,756,0,756,KS0116947,Individual Permit,"CEDAR VALE, CITY OF",Chautauqua,Caney,11070106,4th Congressional District,KS,7,MAP
DEARING WWTP,20001512001,,,,,,,,,,,,,,,,,,,,.027,.027,.027,407,,7,,407,0,407,406,,7,,406,0,406,KS0048062,Individual Permit,"DEARING, CITY OF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
CHAUTAUQUA WWTP,20001513001,,,,,,,,,,,,,,,,,,,,.01,.026,.026,113,,,,113,0,113,284,,,,284,0,284,KS0083291,Individual Permit,"CHATAUQUA, CITY OF",Chautauqua,Caney,11070106,4th Congressional District,KS,7,MAP
ELGIN WWTP,20001514001,,,,,,,,,,,,,,,,,,,,.021,.029,.029,209,,,,209,0,209,210,,,,210,0,210,,,"ELGIN, CITY OF",Chautauqua,Caney,11070106,3rd Congressional District,KS,7,MAP
MOUND VALLEY WWTP,20001515001,,,,,,,,"$553,585",,,,,,,,,,"$553,585",,.031,.034,.034,418,,,,418,0,418,461,,,,461,0,461,KS0116980,Individual Permit,"MOUND VALLEY, CITY OF",Labette,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
EDNA WWTP,20001517001,,,,,,,,,,,,,,,,,,,,.042,.052,.052,423,,,,423,0,423,428,,,,428,0,428,KS0024759,Individual Permit,"EDNA, CITY OF",Labette,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
EUREKA WWTP,20001518001,,,,,,,,,,,,,,,,,,,,.22,.282,.282,"2,893",,,,"2,893",0,2893,"2,932",,,,"2,932",0,2932,KS0083178,Individual Permit,"EUREKA, CITY OF",Greenwood,Fall,11070102,4th Congressional District,KS,7,MAP
ELK CITY WWTP,20001519001,,,,,,,,,,,,,,,,,,,,.03,.034,.034,305,,,,305,0,305,331,,,,331,0,331,KS0045969,Individual Permit,"ELK CITY, CITY OF",Montgomery,Elk,11070104,2nd Congressional District,KS,7,MAP
FREDONIA WWTP,20001520001,,,,,,,,,,,,,,,,,,,,.42,.48,.48,"2,175",,298,,"2,175",0,2175,"2,931",,298,,"2,931",0,2931,KS0045985,Individual Permit,"FREDONIA, CITY OF",Wilson,Fall,11070102,2nd Congressional District,KS,7,MAP
HAVANA WWTP,20001521001,,,,,,,,,,,,,,,,,,,,.007,.015,.015,86,,,,86,0,86,95,,,,95,0,95,KS0082571,Individual Permit,"HAVANA, CITY OF",Montgomery,Caney,11070106,2nd Congressional District,KS,7,MAP
FALL RIVER WWTP,20001522001,,,,,,,,,,,,,,,,,,,,.015,.03,.03,146,,,,146,0,146,189,,,,189,0,189,KS0116963,Individual Permit,"FALL RIVER, CITY OF",Greenwood,Fall,11070102,4th Congressional District,KS,7,MAP
INDEPENDENCE WWTP,20001523001,,,"$2,677,686",,,,,,,,,,,,,,"$2,677,686",,,1.22,3,3,"8,879",648,467,,"9,527",0,9527,"9,733",946,467,,"10,679",0,10679,KS0095486,Individual Permit,"INDEPENDENCE     ,CITYOF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
HAMILTON WWTP,20001524001,,,,,,,,,,,,,,,,,,,,.033,.046,.046,334,,,,334,0,334,331,,,,331,0,331,KS0046001,Individual Permit,"HAMILTON, CITY OF",Greenwood,Upper Verdigris,11070101,4th Congressional District,KS,7,MAP
LIBERTY WWTP,20001525001,,,,,,,,,,,,,,,,,,,,.01,.018,.018,95,,,,95,0,95,122,,,,122,0,122,KS0086223,Individual Permit,"LIBERTY, CITY OF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
GRENOLA WWTP,20001526001,,,,,,,,,,,,,,,,,,,,.02,.025,.025,234,,,,234,0,234,209,,,,209,0,209,,,"GRENOLA, CITY OF",Elk,Caney,11070106,4th Congressional District,KS,7,MAP
MOLINE WWTP,20001527001,,,,,,,,,,,,,,,,,,,,.042,.077,.077,418,,14,,418,0,418,515,,14,,515,0,515,KS0027162,Individual Permit,"MOLINE      ,CITYOF",Elk,Elk,11070104,4th Congressional District,KS,7,MAP
MADISON WWTP,20001528001,,,,,,,,,,,,,,,,,,,,.086,.112,.112,857,,,,857,0,857,946,,,,946,0,946,KS0093858,Individual Permit,"MADISON, CITY OF",Greenwood,Upper Verdigris,11070101,4th Congressional District,KS,7,MAP
HOWARD WWTP,20001529001,,,,,,,,,,,,,,,,,,,,.08,.132,.132,786,,56,,786,0,786,791,,56,,791,0,791,KS0081116,Individual Permit,"HOWARD, CITY OF",Elk,Elk,11070104,4th Congressional District,KS,7,MAP
NEODESHA WWTP,20001530001,,,,,,,,,,,,,,,,,,,,.285,.5,.5,"2,664",,,,"2,664",0,2664,"3,245",,,,"3,245",0,3245,KS0025658,Individual Permit,"NEODESHA, CITY OF",Wilson,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
PERU WWTP,20001533001,,,,,,,,,,,,,,,,,,,,.017,.043,.043,166,,,,166,0,166,223,,,,223,0,223,,,"PERU, CITY OF",Chautauqua,Caney,11070106,4th Congressional District,KS,7,MAP
SEVERY WWTP,20001534001,,,,,,,,,,,,,,,,,,,,.057,.057,.057,259,,,,259,0,259,300,,,,300,0,300,KS0029076,Individual Permit,"SEVERY, CITY OF",Greenwood,Fall,11070102,4th Congressional District,KS,7,MAP
THAYER WWTP,20001535001,,,,,,,,,,,,,,,,,,,,.045,.076,.076,447,,44,,447,0,447,748,,44,,748,0,748,KS0026450,Individual Permit,"THAYER      ,CITYOF",Neosho,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
TORONTO WWTP,20001536001,,,,,,,,,,,,,,,,,,,,.029,.058,.058,285,,,,285,0,285,328,,,,328,0,328,KS0021890,Individual Permit,"TORONTO, CITY OF",Woodson,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
TYRO WWTP,20001537001,,,,,,,,,,,,,,,,,,,,.022,.017,.017,226,,,,226,0,226,164,,,,164,0,164,KS0081264,Individual Permit,"TYRO      ,CITYOF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
SEDAN WWTP,20001538001,,,,,,,,,,,,,,,,,,,,.126,.16,.16,"1,145",,77,,"1,145",0,1145,"1,969",,77,,"1,969",0,1969,KS0089746,Individual Permit,"SEDAN, CITY OF",Chautauqua,Caney,11070106,4th Congressional District,KS,7,MAP
LONGTON WWTP,20001539001,,,,,,,,,,,,,,,,,,,,.039,.039,.039,394,,,,394,0,394,386,,,,386,0,386,KS0046019,Individual Permit,"LONGTON, CITY OF",Elk,Elk,11070104,4th Congressional District,KS,7,MAP
VIRGIL WWTP,20001550001,,,,,,,,,,,,,,,,,,,,.011,.02,.02,106,,,,106,0,106,123,,,,123,0,123,,,"VIRGIL, CITY OF",Greenwood,Upper Verdigris,11070101,4th Congressional District,KS,7,MAP
MG CO S D #5 WWTP SYCAMORE,20001556001,,,,,,,,,,,,,,,,,,,,.006,.011,.011,91,,,,91,0,91,105,,,,105,0,105,KS0086193,Individual Permit,MG CO. S.D. #05,Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
MG CO S D #4 WWTP HAV LAKE,20001557001,,,,,,,,,,,,,,,,,,,,.012,.012,.012,209,,,,209,0,209,234,,,,234,0,234,KS0086207,Individual Permit,MG CO. S.D. #04,Montgomery,Caney,11070106,2nd Congressional District,KS,7,MAP
ANDOVER WWTP,20001601001,"$1,898,033",,"$16,317,598",,"$487,409",,,,,,,,,,,,"$18,703,040",,,.96,1.2,1.2,"9,546",,19,,"9,546",0,9546,"12,406",,19,,"12,406",0,12406,KS0092720,Individual Permit,"ANDOVER      ,CITYOF",Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
ATLANTA WWTP,20001602001,,,,,,"$328,810",,,,,,,,,,,,"$328,810",,.02,.055,.055,195,,,,195,0,195,176,,,,176,0,176,KS0086801,Individual Permit,"ATLANTA, CITY OF",Cowley,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
AUGUSTA WWTP,20001603001,"$540,285",,,,,,,,,,,,,,,,"$540,285",,,1.17,1.5,1.5,"8,700",,,,"8,700",0,8700,"9,455",,,,"9,455",0,9455,KS0094561,Individual Permit,"AUGUSTA      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
BENTON WWTP,20001604001,,,,,,,,,,,,,,,,,,,,.13,.13,.13,787,,93,,787,0,787,932,,93,,932,0,932,KS0026689,Individual Permit,"BENTON      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
BURNS WWTP,20001605001,,,,,,,,,,,,,,,,,,,,.015,.015,.015,268,,,,268,0,268,234,,,,234,0,234,,,"BURNS, CITY OF",Marion,Upper Walnut River,11030017,1st Congressional District,KS,7,MAP
CASSODAY WWTP,20001606001,,,,,,,,,,,,,,,,,,,,.013,.027,.027,130,,,,130,0,130,132,,,,132,0,132,,,"CASSODAY      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
DOUGLASS WWTP,20001607001,,,,,"$299,282",,,,,,,,,,,,"$299,282",,,.18,.256,.256,"1,658",,155,,"1,658",0,1658,"2,116",,155,,"2,116",0,2116,KS0097845,Individual Permit,"DOUGLASS      ,CITYOF",Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
ELBING WWTP,20001608001,,,,,,,,,,,,,,,,,,,,.02,.029,.029,203,,16,,203,0,203,274,,16,,274,0,274,KS0116645,Individual Permit,"ELBING      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
EL DORADO WWTP,20001609001,,,"$3,414,572",,"$1,262,104",,"$40,387",,,,,,,,,,"$4,717,063",,,1.42,3,3,"12,191",152,641,,"12,343",0,12343,"14,117",167,641,,"14,284",0,14284,KS0097667,Individual Permit,"EL DORADO, CITY OF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
LATHAM WWTP,20001610001,,,,,,,,,,,,,,,,,,,,.016,.017,.017,165,,,,165,0,165,172,,,,172,0,172,,,"LATHAM      ,CITYOF",Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
LEON WWTP,20001611001,,,,,,,,,,,,,,,,,,,,.064,.103,.103,645,,,,645,0,645,833,,,,833,0,833,KS0089133,Individual Permit,"LEON      ,CITYOF",Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
POTWIN WWTP,20001612001,,,,,,,,,,,,,,,,,,,,.042,.059,.059,419,,19,,419,0,419,508,,19,,508,0,508,,,"POTWIN      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
ROSE HILL WWTP,20001613001,,,,"$1,517,378",,,,,,,,,,,,,,"$1,517,378",,.38,1,1,"3,822",,128,,"3,822",0,3822,"5,200",,128,,"5,200",0,5200,KS0098850,Individual Permit,"ROSE HILL      ,CITYOF",Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
GARDEN CITY WWTP,20001614001,,,"$6,500,158",,"$122,040",,,,,,,,,,,,"$6,622,198",,,3.11,6,6,"27,175",,627,,"27,175",0,27175,"30,889",,627,,"30,889",0,30889,KS0038962,Individual Permit,"GARDEN CITY     ,CITYOF",Finney,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
WHITEWATER WWTP,20001616001,,,,,,,,,,,,,,,,,,,,.064,.17,.17,641,,,,641,0,641,"1,054",,,,"1,054",0,1054,KS0097276,Individual Permit,"WHITEWATER      ,CITYOF",Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
WINFIELD WWTP,20001617001,"$65,629",,"$3,751,499",,"$176,577",,,,,,,,,,,,"$3,993,705",,,1.06,2,2,"10,083",,"1,626",,"10,083",0,10083,"12,994",,625,,"12,994",0,12994,KS0051926,Individual Permit,"WINFIELD      ,CITYOF",Cowley,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
WINFIELD CITY LAKE WWTP,20001617002,,,,,,,,,,,,,,,,,,,,.004,.004,.004,40,,,,40,0,40,38,,,,38,0,38,,,"WINFIELD      ,CITYOF",Cowley,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
BU CO.S.D. #17 WWTP (BEAUMONT),20001620001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,144,,,,144,0,144,147,,,,147,0,147,KS0082180,Individual Permit,BUTLER CO. S.D. #17,Butler,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
BU CO SD #9 WWTP ROSALIA,20001644001,,,,,,,,,,,,,,,,,,,,.027,.027,.027,275,,,,275,0,275,260,,,,260,0,260,,,BUTLER COUNTY COMMISSION,Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
BU CO SD #16 WWTP,20001645001,,,,,,,,,,,,,,,,,,,,.007,.007,.007,72,,,,72,0,72,68,,,,68,0,68,,,BUTLER COUNTY COMMISSION,Butler,Upper Walnut River,11030017,4th Congressional District,KS,7,MAP
UDALL WWTP,20001650001,,,,,,,,,,,,,,,,,,,,.073,.15,.15,725,,37,,725,0,725,805,,37,,805,0,805,KS0029131,Individual Permit,UDALL CITY OF,Cowley,Lower Walnut River,11030018,4th Congressional District,KS,7,MAP
SU CO S D WWTP SUPPESVILLE,20001700001,,,,,,,,,,,,,,,,,,,,.006,.007,.007,60,,,,60,0,60,72,,,,72,0,72,,,SUMNER COUNTY COMMISSION,Sumner,Ninnescah,11030016,4th Congressional District,KS,7,MAP
SPIVEY WWTP,20001701001,,,,,"$99,761",,,,,,,,,,,,"$99,761",,,.008,.01,.01,80,,,,80,0,80,95,,,,95,0,95,,,"SPIVEY, CITY OF",Kingman,Chikaskia,11060005,4th Congressional District,KS,7,MAP
ZENDA WWTP,20001702001,,,,,,,,,,,,,,,,,,,,.012,.016,.016,115,,,,115,0,115,155,,,,155,0,155,,,"ZENDA, CITY OF",Kingman,Chikaskia,11060005,4th Congressional District,KS,7,MAP
PRESCOTT WWTP,20001703001,,,,,,,,,,,,,,,,,,,,.028,.038,.038,280,,,,280,0,280,282,,,,282,0,282,KS0095508,Individual Permit,"PRESCOTT, CITY OF",Linn,Little Osage,10290103,2nd Congressional District,KS,7,MAP
FALUN I D WWTP,20001706001,,,,,,,,,,,,,,,,,,,,.01,.012,.012,141,,,,141,0,141,145,,,,145,0,145,,,FALUN IMP DIST.,Saline,Lower Saline,10260010,1st Congressional District,KS,7,MAP
NEW STRAWN WWTP,20001707001,,,,,,,,,,,,,,,,,,,,.039,.2,.2,394,,5,,394,0,394,420,,5,,420,0,420,KS0117030,Individual Permit,"NEW STRAWN, CITY OF",Coffey,Upper Neosho,11070204,2nd Congressional District,KS,7,MAP
LANE CO.IMP DIST #1 WWTP,20001708001,,,,,,,,,,,,,,,,,,,,.03,.034,.034,313,,7,,313,0,313,322,,7,,322,0,322,,,LANE CO. IMP. DIST. #1,Lane,Upper Smoky Hill,10260003,1st Congressional District,KS,7,MAP
DK CO SD #1 WWTP (TALMAGE),20001710001,,,,,,,,,,,,,,,,,,,,.01,.012,.012,100,,,,100,0,100,113,,,,113,0,113,,,TALMAGE IMP. DISTRICT,Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
RN CO S D #201 WWTP YODER,20001711001,,,,,,,,,,,,,,,,,,,,.01,.017,.017,115,,,,115,0,115,180,,,,180,0,180,,,RENO COUNTY COMMISSION,Reno,Gar-Peace,11030010,1st Congressional District,KS,7,MAP
RN CO S D # 202 WWTP HABIT,20001712001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,65,,,,65,0,65,73,,,,73,0,73,,,RN CO. S.D. #202,Reno,Gar-Peace,11030010,1st Congressional District,KS,7,MAP
RN CO S D #1 WWTP CEDARVIEW SUB,20001714001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,100,,,,100,0,100,95,,,,95,0,95,,,RENO COUNTY COMMISSION,Reno,North Fork Ninnescah,11030014,1st Congressional District,KS,7,MAP
RN CO S D #8 WWTP PANGANICKA,20001715001,,,,,,,,,,,,,,,,,,,,.08,.2,.2,800,,,,800,0,800,"1,135",,,,"1,135",0,1135,,,RENO COUNTY COMMISSION,Reno,Little Arkansas,11030012,1st Congressional District,KS,7,MAP
RN CO S D #3+10 WWTP MINN SUB,20001716001,,,,,,,,,,,,,,,,,,,,.03,.026,.026,300,,,,300,0,300,331,,,,331,0,331,,,RENO COUNTY COMMISSION,Reno,Cow,11030011,1st Congressional District,KS,7,MAP
WICHITA (FAIRWAY MEADOWS) WWTP,20001717001,,,,,,,,,,,,,,,,,,,,.04,.046,.046,400,,,,400,0,400,460,,,,460,0,460,,,SEDGWICK CO. PUBLIC WORKS,Sedgwick,Middle Arkansas-Slate,11030013,4th Congressional District,KS,7,MAP
HAVILAND WWTP,20001900001,,,,"$811,336",,,,,,,,,,,,,,"$811,336",,.051,.075,.075,514,,58,,514,0,514,575,,58,,575,0,575,KS0027839,Individual Permit,"HAVILAND, CITY OF",Kiowa,South Fork Ninnescah,11030015,4th Congressional District,KS,7,MAP
HURON WWTP,20001901001,,,,,,,,,,,,,,,,,,,,.008,.013,.013,87,,,,87,0,87,83,,,,83,0,83,KS0047473,Individual Permit,"HURON, CITY OF",Atchison,Delaware,10270103,2nd Congressional District,KS,7,MAP
LV CO S D #1 WWTP,20001902001,,,,,,,,,,,,,,,,,,,,.02,.06,.06,200,,,,200,0,200,241,,,,241,0,241,KS0086835,Individual Permit,LEAVENWORTH COUNTY,Leavenworth,Lower Kansas,10270104,2nd Congressional District,KS,7,MAP
LV CO S D #2 WWTP,20001903001,,,,,,,,,,,,,,,,,,,,.04,.072,.072,400,,,,400,0,400,473,,,,473,0,473,KS0087157,Individual Permit,LEAVENWORTH COUNTY,Leavenworth,Lower Kansas,10270104,2nd Congressional District,KS,7,MAP
LV CO S D #5 WWTP,20001905001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,200,,,,200,0,200,284,,,,284,0,284,KS0090522,Individual Permit,LEAVENWORTH COUNTY,Leavenworth,Lower Kansas,10270104,2nd Congressional District,KS,7,MAP
LANE WWTP,20002000001,,,,,,,,,,,,,,,,,,,,.02,.033,.033,197,,59,,197,0,197,367,,59,,367,0,367,KS0081515,Individual Permit,"LANE      ,CITYOF",Franklin,Upper Marais Des Cygnes,10290101,2nd Congressional District,KS,7,MAP
